ID,Place (x),Knowledge (y),Action (z),ETName
3758,-0.31,-0.63,0.69,Earth Spirit
3759,-0.19,0.19,0.25,Ecoscience
3761,0.06,0.00,0.06,Boundary
3762,-0.69,-0.13,0.63,Earth Spirit
3763,0.25,-0.69,1.00,Traditional Ways
3764,-0.31,-0.25,0.44,Earth Spirit
3765,-0.50,-0.19,-0.31,Earth Spirit
3766,-0.13,0.25,0.06,Ecoscience
3767,-0.44,-0.63,0.69,Earth Spirit
3768,-0.44,0.06,0.00,Ecoscience
3769,-1.00,-0.50,0.94,Earth Spirit
3770,-0.56,0.06,0.25,Ecoscience
3772,-0.31,-0.19,0.81,Earth Spirit
3775,-0.19,-0.13,-0.13,Earth Spirit
3777,0.13,-0.31,-0.13,Traditional Ways
3778,0.25,0.25,-0.31,Technoprogress
3782,-0.50,-0.06,0.38,Earth Spirit
3785,-0.31,-0.31,0.00,Earth Spirit
3786,-0.06,-0.31,-0.13,Earth Spirit
3787,-0.94,-0.25,0.00,Earth Spirit
3791,-0.13,-0.19,0.31,Earth Spirit
3811,-0.31,-0.19,-0.06,Earth Spirit
3813,-0.19,-0.38,-0.25,Earth Spirit
3815,-0.31,-0.56,-0.06,Earth Spirit
3819,-0.50,-0.50,0.81,Earth Spirit
3826,0.06,-0.44,0.25,Traditional Ways
3828,-0.50,-0.25,0.06,Earth Spirit
3829,-0.94,-0.94,0.19,Earth Spirit
3830,0.25,0.25,0.31,Technoprogress
3831,-0.38,-0.44,0.75,Earth Spirit
3836,-0.38,0.00,0.38,Boundary
3838,-0.19,-0.06,0.50,Earth Spirit
3840,-0.06,-0.38,0.81,Earth Spirit
3841,0.00,0.06,-0.06,Boundary
3842,-0.81,-0.25,-0.31,Earth Spirit
3843,-0.31,-0.06,-0.19,Earth Spirit
3844,-0.13,0.06,0.56,Ecoscience
3845,0.00,0.13,0.06,Boundary
3846,-0.31,-0.06,0.56,Earth Spirit
3847,-0.44,0.00,0.63,Boundary
3851,-0.06,-0.31,0.25,Earth Spirit
3852,-0.31,-0.06,0.81,Earth Spirit
3854,-0.19,0.00,-0.19,Boundary
3858,-0.38,-0.13,0.44,Earth Spirit
3862,-0.56,-0.50,-0.06,Earth Spirit
3871,-0.25,0.44,0.38,Ecoscience
3881,-0.69,-0.31,0.06,Earth Spirit
3882,-0.44,-0.38,0.25,Earth Spirit
3900,-0.50,0.00,0.63,Boundary
3901,-0.06,0.44,0.81,Ecoscience
3921,-0.31,0.19,0.19,Ecoscience
3959,-0.25,0.25,0.81,Ecoscience
3964,-0.50,0.19,-0.19,Ecoscience
3977,-0.31,0.44,0.50,Ecoscience
3986,-0.56,0.25,0.19,Ecoscience
3987,-0.56,0.00,0.19,Boundary
3998,0.13,0.25,0.94,Technoprogress
4001,-0.13,0.25,0.81,Ecoscience
4012,-0.56,-0.25,0.50,Earth Spirit
4013,-0.31,-0.06,0.63,Earth Spirit
4016,-0.63,-0.25,0.13,Earth Spirit
4022,-0.50,-0.25,-0.06,Earth Spirit
4024,-0.19,-0.44,0.75,Earth Spirit
4025,-0.31,0.50,-0.06,Ecoscience
4029,-0.25,-0.56,0.69,Earth Spirit
4035,-0.38,-0.25,0.31,Earth Spirit
4037,-0.25,-0.13,0.94,Earth Spirit
4040,-0.13,0.31,0.75,Ecoscience
4041,-0.19,0.25,0.81,Ecoscience
4042,-0.44,-0.06,0.13,Earth Spirit
4043,-0.19,-0.19,-0.25,Earth Spirit
4044,-0.44,0.19,-0.06,Ecoscience
4045,-0.31,-0.25,-0.13,Earth Spirit
4046,-0.44,-0.44,-0.13,Earth Spirit
4047,-0.13,0.00,-0.19,Boundary
4048,-0.25,-0.44,0.44,Earth Spirit
4049,-0.06,-0.38,0.88,Earth Spirit
4050,-0.25,0.31,0.75,Ecoscience
4051,0.25,0.31,0.81,Technoprogress
4052,-0.50,-0.38,-0.25,Earth Spirit
4053,-0.44,0.38,0.38,Ecoscience
4054,-0.56,-0.13,0.56,Earth Spirit
4055,-0.31,-0.25,-0.13,Earth Spirit
4056,0.00,-0.13,0.25,Boundary
4057,0.13,-0.31,-0.19,Traditional Ways
4058,-0.63,-0.63,0.00,Earth Spirit
4059,0.19,-0.25,-0.06,Traditional Ways
4060,-0.38,0.19,0.63,Ecoscience
